Year,Player,Position,College,40,Vertical,Broad,Shuttle,Bench
2010,Jay Ross,DT,East Carolina,5.1,32,100,4.64,30
2019,Daylon Mack,DT,Texas A&M,5.1,27,102,4.95,30
2012,Travian Robertson,DT,South Carolina,5.12,26,102,,30
2019,Greg Gaines,DT,Washington,5.16,31,109,,30
2013,John Jenkins,DT,Georgia,5.21,,,,30
2018,Kendrick Norton,DT,Miami (FL),5.25,,,,30
2011,Sione Fua,DT,Stanford,5.28,24,101,4.54,30
2013,Chris Jones,DT,Bowling Green,5.33,24.5,106,4.44,30
2016,D.J. Reader,DT,Clemson,5.33,29.5,99,4.71,30
2012,Christian Tupou,DT,Southern California,5.38,24,92,4.87,30
2018,Saquon Barkley,RB,Penn State,4.4,41,,4.24,29
2021,Jalen Camp,WR,Georgia Tech,4.48,39.5,125,4.14,29
2018,Nick Chubb,RB,Georgia,4.52,38.5,128,4.25,29
2006,Quinton Ganther,RB,Utah,4.56,35,119,,29
2020,Scottie Phillips,RB,Mississippi,4.56,30,114,4.53,29
2009,Rashad Jennings,RB,Liberty,4.59,34,120,4.2,29
2010,Daniel Te'o-Nesheim,DE,Washington,4.73,37,121,4.18,29
2019,Nick Bosa,DE,Ohio State,4.79,33.5,116,4.14,29
2013,Datone Jones,DE,UCLA,4.8,31.5,112,4.32,29
2017,Jeremiah Ledbetter,DE,Arkansas,4.84,32.5,113,4.47,29
2015,Xavier Cooper,DT,Washington State,4.86,29,110,4.37,29
2021,Levi Onwuzurike,DT,Washington,4.88,30,109,,29
2024,Ruke Orhorhoro,DT,Clemson,4.89,32,116,,29
2024,Kris Jenkins,DT,Michigan,4.91,30,115,4.78,29
2009,Dorell Scott,DT,Clemson,4.92,30.5,107,4.84,29
2016,Javon Hargrave,DT,South Carolina State,4.93,34.5,109,4.7,29
2018,Bilal Nichols,DT,Delaware,4.95,,,,29
2009,Darell Scott,DT,West Virginia,4.97,30.5,107,4.84,29
2011,Terrell McClain,DT,South Florida,4.98,28,104,4.56,29
2008,Jeremy Geathers,DE,UNLV,5,28,105,4.49,29
2016,David Morgan,TE,Texas-San Antonio,5.02,30,115,4.19,29
2024,Tyler Davis,DT,Clemson,5.02,28.5,108,5,29
2011,Tupaimoefitpo Siliga,DT,Utah,5.04,29,,4.75,29
2021,Kenny Randall,DT,Charleston (WV),5.04,34,117,4.7,29
2007,Jeremy Clark,DT,Alabama,5.06,29,104,4.82,29
2016,Kenny Clark,DT,UCLA,5.06,28.5,102,4.62,29
2007,Amobi Okoye,DT,Louisville,5.07,30,111,,29
2011,John Graves,DT,Virginia Tech,5.09,28.5,114,4.49,29
2014,Eathyn Manumaleuna,DT,Brigham Young,5.16,28,100,4.61,29
2015,J.T. Surratt,DT,South Carolina,5.19,30,106,4.71,29
2012,Tydreke Powell,DT,North Carolina,5.28,28.5,99,4.62,29
2009,Vance Walker,DT,Georgia Tech,5.32,33,,,29
2012,Robert Turbin,RB,Utah State,4.42,36,122,4.31,28
2012,Doug Martin,RB,Boise State,4.46,36,120,4.16,28
2008,Jonathan Stewart,RB,Oregon,4.48,36.5,128,4.53,28
2009,Lawrence Sidbury,DE,Richmond,4.53,35,120,4.43,28
2011,Allen Bradford,RB,Southern California,4.53,29,113,4.39,28
2013,Mike James,RB,Miami (FL),4.53,35,115,4.62,28
2006,Brandon Marshall,WR,Central Florida,4.54,37,120,4.09,28
2007,Brian Leonard,RB,Rutgers,4.54,34.5,122,4.22,28
2009,Travis Beckum,TE,Wisconsin,4.62,,,,28
2024,Tip Reiman,TE,Illinois,4.64,33.5,121,4.26,28
2009,Michael Johnson,DE,Georgia Tech,4.69,38.5,128,4.37,28
2006,Chris Gocong,DE,Cal Poly,4.7,38.5,123,4.08,28
2014,Chris Smith,DE,Arkansas,4.71,37,121,4.46,28
2021,Jonathon Cooper,DE,Ohio State,4.71,33,108,4.31,28
2014,Jace Amaro,TE,Texas Tech,4.74,33,116,4.3,28
2005,Alex Smith,TE,Stanford,4.75,,,,28
2013,Cornellius Carradine,DE,Florida State,4.75,,,,28
2014,IK Enemkpali,DE,Louisiana Tech,4.78,34,112,4.65,28
2009,Jarron Gilbert,DE,San Jose State,4.81,35.5,119,4.56,28
2012,Jamie Blatnick,DE,Oklahoma State,4.81,32.5,112,4.2,28
2016,Anthony Zettel,DE,Penn State,4.81,30.5,109,4.39,28
2012,Tyrone Crawford,DE,Boise State,4.82,33,113,4.44,28
2014,Arthur Lynch,TE,Georgia,4.82,29.5,115,4.35,28
2018,DaShawn Hand,DE,Alabama,4.83,31.5,111,4.62,28
2021,Victor Dimukeje,DE,Duke,4.83,34.5,115,4.38,28
2010,Hall Davis,DE,Louisiana-Lafayette,4.84,,,,28
2012,Markus Kuhn,DT,North Carolina State,4.87,34.5,112,4.41,28
2015,Gerald Christian,TE,Louisville,4.87,,,4.7,28
2016,Robert Nkemdiche,DT,Mississippi,4.87,35,116,,28
2018,Kentavius Street,DE,North Carolina State,4.87,,,,28
2024,Byron Murphy,DT,Texas,4.87,33,111,,28
2018,James Looney,DE,California,4.89,35.5,113,4.37,28
2006,Jason Hatcher,DE,Grambling State,4.91,35.5,113,4.49,28
2015,Trey Flowers,DE,Arkansas,4.93,36.5,121,4.4,28
2013,Nicholas Williams,DT,Samford,4.94,33,111,4.65,28
2011,Lawrence Guy,DT,Arizona State,4.96,29,,4.43,28
2005,Clifford Dukes,DE,Michigan State,4.98,31.5,,,28
2009,Ra'Shon Harris,DT,Oregon,4.99,25.5,106,4.87,28
2017,Eddie Vanderdoes,DT,UCLA,4.99,28.5,111,,28
2012,Kheeston Randall,DT,Texas,5,34,111,4.84,28
2016,Willie Henry,DT,Michigan,5,30.5,110,4.53,28
2005,Lynn McGruder,DT,Oklahoma,5.01,35.5,112,4.42,28
2014,I.K. Enemkpali,DE,Louisiana Tech,5.01,34,112,4.65,28
2014,Khyri Thornton,DT,Southern Mississippi,5.03,29,111,4.76,28
2016,Sheldon Rankins,DT,Louisville,5.03,34.5,118,4.59,28
2019,Trysten Hill,DT,Central Florida,5.04,35,115,4.38,28
2019,Christian Wilkins,DT,Clemson,5.04,29.5,107,4.55,28
2009,Sunny Harris,DT,Michigan State,5.05,25.5,106,4.87,28
2013,Jared Smith,DT,New Hampshire,5.08,32.5,115,4.39,28
2014,Zach Kerr,DT,Kansas State,5.08,28.5,99,4.71,28
2014,Zack Kerr,DT,Delaware,5.08,28.5,99,4.71,28
2019,Chris Slayton,DT,Syracuse,5.13,29,101,4.73,28
2005,Lorenzo Alexander,DT,California,5.16,29.5,106,4.55,28
2008,DeMario Pressley,DT,North Carolina State,5.17,25.5,100,,28
2015,Jordan Phillips,DT,Oklahoma,5.17,30,105,4.68,28
2007,Antonio Johnson,DT,Mississippi State,5.19,29,108,4.49,28
2019,Terry Beckner,DT,Missouri,5.19,24.5,98,4.82,28
2021,Eli Howard,DT,Texas Tech,5.22,29.5,110,4.55,28
2013,Jordan Hill,DT,Penn State,5.23,22.5,103,4.51,28
2012,John Hughes,DT,Cincinnati,5.32,,,,28
